// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18
// command took 2,06s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18
// command took 3,1s and exited with 0
// ***** Done, took 00:00:05 (5.34 sec)   *****
// Found 8 benchmarks:
//   AnyArrayVsListAccessMethods.ForAnyCacheArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyCacheList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.LinqAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.LinqAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForEachAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForEachAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AnyArrayVsListAccessMethods.ForAnyCacheArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1b74f44b-088c-4c23-8d91-182e5c455e18.dll" --benchmarkName "CSharpBenchmarks.AnyArrayVsListAccessMethods.ForAnyCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KGVION(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 428200.00 ns, 428.2000 us/op
WorkloadJitting  1: 1 op, 381726500.00 ns, 381.7265 ms/op

WorkloadWarmup   1: 1 op, 375785700.00 ns, 375.7857 ms/op
WorkloadWarmup   2: 1 op, 371750100.00 ns, 371.7501 ms/op
WorkloadWarmup   3: 1 op, 375975000.00 ns, 375.9750 ms/op
WorkloadWarmup   4: 1 op, 374944900.00 ns, 374.9449 ms/op
WorkloadWarmup   5: 1 op, 374418200.00 ns, 374.4182 ms/op
WorkloadWarmup   6: 1 op, 373698500.00 ns, 373.6985 ms/op
WorkloadWarmup   7: 1 op, 374392400.00 ns, 374.3924 ms/op
WorkloadWarmup   8: 1 op, 372056700.00 ns, 372.0567 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 374516100.00 ns, 374.5161 ms/op
WorkloadActual   2: 1 op, 370521500.00 ns, 370.5215 ms/op
WorkloadActual   3: 1 op, 374162000.00 ns, 374.1620 ms/op
WorkloadActual   4: 1 op, 372119300.00 ns, 372.1193 ms/op
WorkloadActual   5: 1 op, 370603100.00 ns, 370.6031 ms/op
WorkloadActual   6: 1 op, 373991900.00 ns, 373.9919 ms/op
WorkloadActual   7: 1 op, 374960600.00 ns, 374.9606 ms/op
WorkloadActual   8: 1 op, 374272600.00 ns, 374.2726 ms/op
WorkloadActual   9: 1 op, 374887800.00 ns, 374.8878 ms/op
WorkloadActual  10: 1 op, 373975100.00 ns, 373.9751 ms/op
WorkloadActual  11: 1 op, 373913000.00 ns, 373.9130 ms/op
WorkloadActual  12: 1 op, 374220500.00 ns, 374.2205 ms/op
WorkloadActual  13: 1 op, 372496600.00 ns, 372.4966 ms/op
WorkloadActual  14: 1 op, 371549900.00 ns, 371.5499 ms/op
WorkloadActual  15: 1 op, 373517600.00 ns, 373.5176 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 374516100.00 ns, 374.5161 ms/op
WorkloadResult   2: 1 op, 370521500.00 ns, 370.5215 ms/op
WorkloadResult   3: 1 op, 374162000.00 ns, 374.1620 ms/op
WorkloadResult   4: 1 op, 372119300.00 ns, 372.1193 ms/op
WorkloadResult   5: 1 op, 370603100.00 ns, 370.6031 ms/op
WorkloadResult   6: 1 op, 373991900.00 ns, 373.9919 ms/op
WorkloadResult   7: 1 op, 374960600.00 ns, 374.9606 ms/op
WorkloadResult   8: 1 op, 374272600.00 ns, 374.2726 ms/op
WorkloadResult   9: 1 op, 374887800.00 ns, 374.8878 ms/op
WorkloadResult  10: 1 op, 373975100.00 ns, 373.9751 ms/op
WorkloadResult  11: 1 op, 373913000.00 ns, 373.9130 ms/op
