// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\7b626b11-1666-438b-8a02-8428f12ea70b
// command took 1,94s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\7b626b11-1666-438b-8a02-8428f12ea70b
// command took 3,11s and exited with 0
// ***** Done, took 00:00:05 (5.22 sec)   *****
// Found 5 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.For: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.ForEach: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqAggregate: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqSum: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-ABHQVM(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7b626b11-1666-438b-8a02-8428f12ea70b.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\7b626b11-1666-438b-8a02-8428f12ea70b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-ADUWAK(Server=True, InvocationCount=3, IterationCount=1000, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 444300.00 ns, 444.3000 us/op
WorkloadJitting  1: 1 op, 431800.00 ns, 431.8000 us/op

OverheadWarmup   1: 3 op, 4700.00 ns, 1.5667 us/op
OverheadWarmup   2: 3 op, 400.00 ns, 133.3333 ns/op
OverheadWarmup   3: 3 op, 300.00 ns, 100.0000 ns/op
OverheadWarmup   4: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   5: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   6: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   7: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   8: 3 op, 300.00 ns, 100.0000 ns/op

OverheadActual   1: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   2: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   3: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   4: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   5: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual   6: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   7: 3 op, 1800.00 ns, 600.0000 ns/op
OverheadActual   8: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   9: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  10: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  11: 3 op, 500.00 ns, 166.6667 ns/op
OverheadActual  12: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  13: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  14: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  15: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  16: 3 op, 500.00 ns, 166.6667 ns/op
OverheadActual  17: 3 op, 100.00 ns, 33.3333 ns/op
OverheadActual  18: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  19: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  20: 3 op, 700.00 ns, 233.3333 ns/op

WorkloadWarmup   1: 3 op, 7800.00 ns, 2.6000 us/op

// BeforeActualRun
WorkloadActual   1: 3 op, 2400.00 ns, 800.0000 ns/op
WorkloadActual   2: 3 op, 4600.00 ns, 1.5333 us/op
WorkloadActual   3: 3 op, 6100.00 ns, 2.0333 us/op
WorkloadActual   4: 3 op, 2400.00 ns, 800.0000 ns/op
WorkloadActual   5: 3 op, 2600.00 ns, 866.6667 ns/op
WorkloadActual   6: 3 op, 3300.00 ns, 1.1000 us/op
WorkloadActual   7: 3 op, 2800.00 ns, 933.3333 ns/op
WorkloadActual   8: 3 op, 6400.00 ns, 2.1333 us/op
WorkloadActual   9: 3 op, 6300.00 ns, 2.1000 us/op
WorkloadActual  10: 3 op, 2400.00 ns, 800.0000 ns/op
WorkloadActual  11: 3 op, 2500.00 ns, 833.3333 ns/op
WorkloadActual  12: 3 op, 6300.00 ns, 2.1000 us/op
WorkloadActual  13: 3 op, 2800.00 ns, 933.3333 ns/op
