// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\6c0fd724-5625-4eb9-8039-b4326be12c6f
// command took 2,05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\6c0fd724-5625-4eb9-8039-b4326be12c6f
// command took 3,11s and exited with 0
// ***** Done, took 00:00:05 (5.34 sec)   *****
// Found 5 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.For: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.ForEach: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqAggregate: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqSum: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-POENQL(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "6c0fd724-5625-4eb9-8039-b4326be12c6f.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\6c0fd724-5625-4eb9-8039-b4326be12c6f\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-TFLTWX(Server=True, InvocationCount=3, IterationCount=100, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 458800.00 ns, 458.8000 us/op
WorkloadJitting  1: 1 op, 485600.00 ns, 485.6000 us/op

OverheadWarmup   1: 3 op, 4100.00 ns, 1.3667 us/op
OverheadWarmup   2: 3 op, 300.00 ns, 100.0000 ns/op
OverheadWarmup   3: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   4: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   5: 3 op, 300.00 ns, 100.0000 ns/op
OverheadWarmup   6: 3 op, 1800.00 ns, 600.0000 ns/op
OverheadWarmup   7: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   8: 3 op, 400.00 ns, 133.3333 ns/op

OverheadActual   1: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual   2: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   3: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   4: 3 op, 100.00 ns, 33.3333 ns/op
OverheadActual   5: 3 op, 100.00 ns, 33.3333 ns/op
OverheadActual   6: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   7: 3 op, 100.00 ns, 33.3333 ns/op
OverheadActual   8: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual   9: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  10: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  11: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  12: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  13: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  14: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  15: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  16: 3 op, 800.00 ns, 266.6667 ns/op
OverheadActual  17: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  18: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  19: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  20: 3 op, 400.00 ns, 133.3333 ns/op

WorkloadWarmup   1: 3 op, 213000.00 ns, 71.0000 us/op

// BeforeActualRun
WorkloadActual   1: 3 op, 205100.00 ns, 68.3667 us/op
WorkloadActual   2: 3 op, 200200.00 ns, 66.7333 us/op
WorkloadActual   3: 3 op, 202700.00 ns, 67.5667 us/op
WorkloadActual   4: 3 op, 329200.00 ns, 109.7333 us/op
WorkloadActual   5: 3 op, 191300.00 ns, 63.7667 us/op
WorkloadActual   6: 3 op, 203400.00 ns, 67.8000 us/op
WorkloadActual   7: 3 op, 189700.00 ns, 63.2333 us/op
WorkloadActual   8: 3 op, 190100.00 ns, 63.3667 us/op
WorkloadActual   9: 3 op, 210700.00 ns, 70.2333 us/op
WorkloadActual  10: 3 op, 205300.00 ns, 68.4333 us/op
WorkloadActual  11: 3 op, 200300.00 ns, 66.7667 us/op
WorkloadActual  12: 3 op, 205500.00 ns, 68.5000 us/op
WorkloadActual  13: 3 op, 188600.00 ns, 62.8667 us/op
WorkloadActual  14: 3 op, 195500.00 ns, 65.1667 us/op
WorkloadActual  15: 3 op, 196100.00 ns, 65.3667 us/op
WorkloadActual  16: 3 op, 214900.00 ns, 71.6333 us/op
WorkloadActual  17: 3 op, 189700.00 ns, 63.2333 us/op
WorkloadActual  18: 3 op, 199800.00 ns, 66.6000 us/op
WorkloadActual  19: 3 op, 205200.00 ns, 68.4000 us/op
WorkloadActual  20: 3 op, 191600.00 ns, 63.8667 us/op
WorkloadActual  21: 3 op, 201700.00 ns, 67.2333 us/op
WorkloadActual  22: 3 op, 216200.00 ns, 72.0667 us/op
WorkloadActual  23: 3 op, 217500.00 ns, 72.5000 us/op
WorkloadActual  24: 3 op, 192100.00 ns, 64.0333 us/op
WorkloadActual  25: 3 op, 189400.00 ns, 63.1333 us/op
WorkloadActual  26: 3 op, 219600.00 ns, 73.2000 us/op
WorkloadActual  27: 3 op, 206100.00 ns, 68.7000 us/op
WorkloadActual  28: 3 op, 196200.00 ns, 65.4000 us/op
WorkloadActual  29: 3 op, 195900.00 ns, 65.3000 us/op
WorkloadActual  30: 3 op, 200900.00 ns, 66.9667 us/op
WorkloadActual  31: 3 op, 191300.00 ns, 63.7667 us/op
WorkloadActual  32: 3 op, 197100.00 ns, 65.7000 us/op
WorkloadActual  33: 3 op, 196600.00 ns, 65.5333 us/op
WorkloadActual  34: 3 op, 206400.00 ns, 68.8000 us/op
WorkloadActual  35: 3 op, 205000.00 ns, 68.3333 us/op
WorkloadActual  36: 3 op, 191400.00 ns, 63.8000 us/op
WorkloadActual  37: 3 op, 191600.00 ns, 63.8667 us/op
WorkloadActual  38: 3 op, 191300.00 ns, 63.7667 us/op
WorkloadActual  39: 3 op, 192300.00 ns, 64.1000 us/op
WorkloadActual  40: 3 op, 194100.00 ns, 64.7000 us/op
WorkloadActual  41: 3 op, 187300.00 ns, 62.4333 us/op
WorkloadActual  42: 3 op, 231500.00 ns, 77.1667 us/op
WorkloadActual  43: 3 op, 196400.00 ns, 65.4667 us/op
WorkloadActual  44: 3 op, 191500.00 ns, 63.8333 us/op
WorkloadActual  45: 3 op, 191800.00 ns, 63.9333 us/op
WorkloadActual  46: 3 op, 191600.00 ns, 63.8667 us/op
WorkloadActual  47: 3 op, 201200.00 ns, 67.0667 us/op
WorkloadActual  48: 3 op, 191500.00 ns, 63.8333 us/op
WorkloadActual  49: 3 op, 216400.00 ns, 72.1333 us/op
