// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\9e01ba35-7f38-4698-be65-c5173ea14309
// command took 2,05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\9e01ba35-7f38-4698-be65-c5173ea14309
// command took 3,17s and exited with 0
// ***** Done, took 00:00:05 (5.39 sec)   *****
// Found 5 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.For: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.ForEach: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqAggregate: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqSum: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-NWWSJS(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9e01ba35-7f38-4698-be65-c5173ea14309.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\9e01ba35-7f38-4698-be65-c5173ea14309\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-JZTKCY(Server=True, InvocationCount=3, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 439700.00 ns, 439.7000 us/op
WorkloadJitting  1: 1 op, 9191600.00 ns, 9.1916 ms/op

OverheadWarmup   1: 3 op, 5900.00 ns, 1.9667 us/op
OverheadWarmup   2: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   3: 3 op, 400.00 ns, 133.3333 ns/op
OverheadWarmup   4: 3 op, 400.00 ns, 133.3333 ns/op
OverheadWarmup   5: 3 op, 200.00 ns, 66.6667 ns/op
OverheadWarmup   6: 3 op, 200.00 ns, 66.6667 ns/op

OverheadActual   1: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   2: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual   3: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   4: 3 op, 1800.00 ns, 600.0000 ns/op
OverheadActual   5: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   6: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   7: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   8: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual   9: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  10: 3 op, 100.00 ns, 33.3333 ns/op
OverheadActual  11: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  12: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  13: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  14: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  15: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  16: 3 op, 300.00 ns, 100.0000 ns/op
OverheadActual  17: 3 op, 200.00 ns, 66.6667 ns/op
OverheadActual  18: 3 op, 500.00 ns, 166.6667 ns/op
OverheadActual  19: 3 op, 400.00 ns, 133.3333 ns/op
OverheadActual  20: 3 op, 400.00 ns, 133.3333 ns/op

WorkloadWarmup   1: 3 op, 26565200.00 ns, 8.8551 ms/op

// BeforeActualRun
WorkloadActual   1: 3 op, 25993400.00 ns, 8.6645 ms/op
WorkloadActual   2: 3 op, 25704100.00 ns, 8.5680 ms/op
WorkloadActual   3: 3 op, 26078200.00 ns, 8.6927 ms/op
WorkloadActual   4: 3 op, 26072800.00 ns, 8.6909 ms/op
WorkloadActual   5: 3 op, 26635900.00 ns, 8.8786 ms/op
WorkloadActual   6: 3 op, 26643400.00 ns, 8.8811 ms/op
WorkloadActual   7: 3 op, 26472600.00 ns, 8.8242 ms/op
WorkloadActual   8: 3 op, 26092500.00 ns, 8.6975 ms/op
WorkloadActual   9: 3 op, 25550100.00 ns, 8.5167 ms/op
WorkloadActual  10: 3 op, 27438100.00 ns, 9.1460 ms/op

// AfterActualRun
WorkloadResult   1: 3 op, 25993000.00 ns, 8.6643 ms/op
WorkloadResult   2: 3 op, 25703700.00 ns, 8.5679 ms/op
