// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\e268f720-51c5-448a-8013-fd08339aabca
// command took 2,05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\e268f720-51c5-448a-8013-fd08339aabca
// command took 3,13s and exited with 0
// ***** Done, took 00:00:05 (5.34 sec)   *****
// Found 2 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-EDSYVA(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqSum: Job-EDSYVA(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-EDSYVA(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e268f720-51c5-448a-8013-fd08339aabca.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\e268f720-51c5-448a-8013-fd08339aabca\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DEGNGB(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 479200.00 ns, 479.2000 us/op
WorkloadJitting  1: 1 op, 2896494500.00 ns, 2.8965 s/op

OverheadWarmup   1: 2 op, 4200.00 ns, 2.1000 us/op
OverheadWarmup   2: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   3: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   4: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   5: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   6: 2 op, 500.00 ns, 250.0000 ns/op

OverheadActual   1: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   2: 2 op, 800.00 ns, 400.0000 ns/op
OverheadActual   3: 2 op, 2200.00 ns, 1.1000 us/op
OverheadActual   4: 2 op, 100.00 ns, 50.0000 ns/op
OverheadActual   5: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual   6: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   7: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual   8: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   9: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  10: 2 op, 100.00 ns, 50.0000 ns/op
OverheadActual  11: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual  12: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  13: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  14: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual  15: 2 op, 600.00 ns, 300.0000 ns/op
OverheadActual  16: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  17: 2 op, 0.00 ns, 0.0000 ns/op
OverheadActual  18: 2 op, 600.00 ns, 300.0000 ns/op
OverheadActual  19: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  20: 2 op, 300.00 ns, 150.0000 ns/op

WorkloadWarmup   1: 2 op, 5642577100.00 ns, 2.8213 s/op

// BeforeActualRun
WorkloadActual   1: 2 op, 5671033100.00 ns, 2.8355 s/op
WorkloadActual   2: 2 op, 5663379900.00 ns, 2.8317 s/op
WorkloadActual   3: 2 op, 5665756300.00 ns, 2.8329 s/op
WorkloadActual   4: 2 op, 5662753400.00 ns, 2.8314 s/op
