// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\f5a1d62c-c390-42d0-b26a-bfed21348d5b
// command took 2,1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\f5a1d62c-c390-42d0-b26a-bfed21348d5b
// command took 3,17s and exited with 0
// ***** Done, took 00:00:05 (5.44 sec)   *****
// Found 6 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.For: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.ForEach: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqAggregate: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqSum: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
//   ArrayAccessMethods.LinqAll: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f5a1d62c-c390-42d0-b26a-bfed21348d5b.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\f5a1d62c-c390-42d0-b26a-bfed21348d5b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VEARKI(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 446300.00 ns, 446.3000 us/op
WorkloadJitting  1: 1 op, 29035800.00 ns, 29.0358 ms/op

OverheadWarmup   1: 2 op, 3900.00 ns, 1.9500 us/op
OverheadWarmup   2: 2 op, 2000.00 ns, 1.0000 us/op
OverheadWarmup   3: 2 op, 300.00 ns, 150.0000 ns/op
OverheadWarmup   4: 2 op, 300.00 ns, 150.0000 ns/op
OverheadWarmup   5: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   6: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   7: 2 op, 400.00 ns, 200.0000 ns/op

OverheadActual   1: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual   2: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   3: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   4: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   5: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual   6: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   7: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   8: 2 op, 100.00 ns, 50.0000 ns/op
OverheadActual   9: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  10: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  11: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  12: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  13: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  14: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  15: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual  16: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  17: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual  18: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual  19: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  20: 2 op, 400.00 ns, 200.0000 ns/op

WorkloadWarmup   1: 2 op, 55797800.00 ns, 27.8989 ms/op

// BeforeActualRun
WorkloadActual   1: 2 op, 56454600.00 ns, 28.2273 ms/op
WorkloadActual   2: 2 op, 56048900.00 ns, 28.0245 ms/op
WorkloadActual   3: 2 op, 55728600.00 ns, 27.8643 ms/op
WorkloadActual   4: 2 op, 56547400.00 ns, 28.2737 ms/op
WorkloadActual   5: 2 op, 55266000.00 ns, 27.6330 ms/op
WorkloadActual   6: 2 op, 55969800.00 ns, 27.9849 ms/op
WorkloadActual   7: 2 op, 56290100.00 ns, 28.1451 ms/op
WorkloadActual   8: 2 op, 55902400.00 ns, 27.9512 ms/op
WorkloadActual   9: 2 op, 58196200.00 ns, 29.0981 ms/op
WorkloadActual  10: 2 op, 55576100.00 ns, 27.7881 ms/op

// AfterActualRun
WorkloadResult   1: 2 op, 56454250.00 ns, 28.2271 ms/op
WorkloadResult   2: 2 op, 56048550.00 ns, 28.0243 ms/op
WorkloadResult   3: 2 op, 55728250.00 ns, 27.8641 ms/op
WorkloadResult   4: 2 op, 56547050.00 ns, 28.2735 ms/op
WorkloadResult   5: 2 op, 55265650.00 ns, 27.6328 ms/op
WorkloadResult   6: 2 op, 55969450.00 ns, 27.9847 ms/op
WorkloadResult   7: 2 op, 56289750.00 ns, 28.1449 ms/op
WorkloadResult   8: 2 op, 55902050.00 ns, 27.9510 ms/op
WorkloadResult   9: 2 op, 55575750.00 ns, 27.7879 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 27.9878 ms, StdErr = 0.0695 ms (0.25%); N = 9, StdDev = 0.2084 ms
Min = 27.6328 ms, Q1 = 27.8260 ms, Median = 27.9847 ms, Q3 = 28.1860 ms, Max = 28.2735 ms
IQR = 0.3600 ms, LowerFence = 27.2860 ms, UpperFence = 28.7260 ms
ConfidenceInterval = [27.6376 ms; 28.3381 ms] (CI 99.9%), Margin = 0.3503 ms (1.25% of Mean)
Skewness = -0.17, Kurtosis = 1.66, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.For: Job-QNDYYO(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f5a1d62c-c390-42d0-b26a-bfed21348d5b.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.For" --job "Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1" --benchmarkId 1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\f5a1d62c-c390-42d0-b26a-bfed21348d5b\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FEOIJJ(Server=True, InvocationCount=2, IterationCount=10, LaunchCount=1, RunStrategy=Throughput, UnrollFactor=1, WarmupCount=1)

OverheadJitting  1: 1 op, 428600.00 ns, 428.6000 us/op
WorkloadJitting  1: 1 op, 42156900.00 ns, 42.1569 ms/op

OverheadWarmup   1: 2 op, 4200.00 ns, 2.1000 us/op
OverheadWarmup   2: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   3: 2 op, 1900.00 ns, 950.0000 ns/op
OverheadWarmup   4: 2 op, 400.00 ns, 200.0000 ns/op
OverheadWarmup   5: 2 op, 300.00 ns, 150.0000 ns/op
OverheadWarmup   6: 2 op, 300.00 ns, 150.0000 ns/op
OverheadWarmup   7: 2 op, 500.00 ns, 250.0000 ns/op

OverheadActual   1: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   2: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   3: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual   4: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   5: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   6: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   7: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   8: 2 op, 400.00 ns, 200.0000 ns/op
OverheadActual   9: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  10: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  11: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  12: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  13: 2 op, 300.00 ns, 150.0000 ns/op
OverheadActual  14: 2 op, 1700.00 ns, 850.0000 ns/op
OverheadActual  15: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  16: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  17: 2 op, 500.00 ns, 250.0000 ns/op
OverheadActual  18: 2 op, 600.00 ns, 300.0000 ns/op
OverheadActual  19: 2 op, 200.00 ns, 100.0000 ns/op
OverheadActual  20: 2 op, 200.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 2 op, 83812800.00 ns, 41.9064 ms/op

// BeforeActualRun
WorkloadActual   1: 2 op, 82957200.00 ns, 41.4786 ms/op
WorkloadActual   2: 2 op, 83334200.00 ns, 41.6671 ms/op
WorkloadActual   3: 2 op, 83615000.00 ns, 41.8075 ms/op
WorkloadActual   4: 2 op, 83641100.00 ns, 41.8206 ms/op
WorkloadActual   5: 2 op, 83063100.00 ns, 41.5316 ms/op
WorkloadActual   6: 2 op, 82874000.00 ns, 41.4370 ms/op
WorkloadActual   7: 2 op, 82917000.00 ns, 41.4585 ms/op
WorkloadActual   8: 2 op, 82986000.00 ns, 41.4930 ms/op
WorkloadActual   9: 2 op, 83035500.00 ns, 41.5178 ms/op
WorkloadActual  10: 2 op, 83241400.00 ns, 41.6207 ms/op

// AfterActualRun
WorkloadResult   1: 2 op, 82956900.00 ns, 41.4785 ms/op
WorkloadResult   2: 2 op, 83333900.00 ns, 41.6670 ms/op
WorkloadResult   3: 2 op, 83614700.00 ns, 41.8074 ms/op
WorkloadResult   4: 2 op, 83640800.00 ns, 41.8204 ms/op
WorkloadResult   5: 2 op, 83062800.00 ns, 41.5314 ms/op
WorkloadResult   6: 2 op, 82873700.00 ns, 41.4369 ms/op
WorkloadResult   7: 2 op, 82916700.00 ns, 41.4584 ms/op
WorkloadResult   8: 2 op, 82985700.00 ns, 41.4929 ms/op
WorkloadResult   9: 2 op, 83035200.00 ns, 41.5176 ms/op
WorkloadResult  10: 2 op, 83241100.00 ns, 41.6206 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 41.5831 ms, StdErr = 0.0445 ms (0.11%); N = 10, StdDev = 0.1407 ms
