// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 3,29s and exited with 0
// ***** Done, took 00:00:05 (5.47 sec)   *****
// Found 14 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CECUFN(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 459900.00 ns, 459.9000 us/op
WorkloadJitting  1: 1 op, 28625000.00 ns, 28.6250 ms/op

OverheadJitting  2: 16 op, 694200.00 ns, 43.3875 us/op
WorkloadJitting  2: 16 op, 457573500.00 ns, 28.5983 ms/op

WorkloadPilot    1: 16 op, 462257400.00 ns, 28.8911 ms/op
WorkloadPilot    2: 32 op, 897050500.00 ns, 28.0328 ms/op

OverheadWarmup   1: 32 op, 4300.00 ns, 134.3750 ns/op
OverheadWarmup   2: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   3: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   5: 32 op, 400.00 ns, 12.5000 ns/op
OverheadWarmup   6: 32 op, 2100.00 ns, 65.6250 ns/op
OverheadWarmup   7: 32 op, 1000.00 ns, 31.2500 ns/op

OverheadActual   1: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   2: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   3: 32 op, 2300.00 ns, 71.8750 ns/op
OverheadActual   4: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   6: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual   7: 32 op, 1200.00 ns, 37.5000 ns/op
OverheadActual   8: 32 op, 1400.00 ns, 43.7500 ns/op
OverheadActual   9: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  10: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 1000.00 ns, 31.2500 ns/op
OverheadActual  13: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  14: 32 op, 2200.00 ns, 68.7500 ns/op
OverheadActual  15: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  16: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  17: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  18: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  19: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual  20: 32 op, 500.00 ns, 15.6250 ns/op

WorkloadWarmup   1: 32 op, 909514500.00 ns, 28.4223 ms/op
WorkloadWarmup   2: 32 op, 891357100.00 ns, 27.8549 ms/op
WorkloadWarmup   3: 32 op, 875434800.00 ns, 27.3573 ms/op
WorkloadWarmup   4: 32 op, 873950700.00 ns, 27.3110 ms/op
WorkloadWarmup   5: 32 op, 877846400.00 ns, 27.4327 ms/op
WorkloadWarmup   6: 32 op, 872686400.00 ns, 27.2715 ms/op
WorkloadWarmup   7: 32 op, 876143700.00 ns, 27.3795 ms/op
WorkloadWarmup   8: 32 op, 882212200.00 ns, 27.5691 ms/op
WorkloadWarmup   9: 32 op, 872973700.00 ns, 27.2804 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 873272000.00 ns, 27.2898 ms/op
WorkloadActual   2: 32 op, 881764400.00 ns, 27.5551 ms/op
WorkloadActual   3: 32 op, 872955000.00 ns, 27.2798 ms/op
WorkloadActual   4: 32 op, 873686400.00 ns, 27.3027 ms/op
WorkloadActual   5: 32 op, 874240600.00 ns, 27.3200 ms/op
WorkloadActual   6: 32 op, 872215100.00 ns, 27.2567 ms/op
WorkloadActual   7: 32 op, 879750800.00 ns, 27.4922 ms/op
WorkloadActual   8: 32 op, 874185300.00 ns, 27.3183 ms/op
WorkloadActual   9: 32 op, 875735200.00 ns, 27.3667 ms/op
WorkloadActual  10: 32 op, 874026300.00 ns, 27.3133 ms/op
WorkloadActual  11: 32 op, 878140300.00 ns, 27.4419 ms/op
WorkloadActual  12: 32 op, 873106600.00 ns, 27.2846 ms/op
WorkloadActual  13: 32 op, 870610900.00 ns, 27.2066 ms/op
WorkloadActual  14: 32 op, 876214700.00 ns, 27.3817 ms/op
WorkloadActual  15: 32 op, 885614000.00 ns, 27.6754 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 873271500.00 ns, 27.2897 ms/op
WorkloadResult   2: 32 op, 881763900.00 ns, 27.5551 ms/op
WorkloadResult   3: 32 op, 872954500.00 ns, 27.2798 ms/op
WorkloadResult   4: 32 op, 873685900.00 ns, 27.3027 ms/op
WorkloadResult   5: 32 op, 874240100.00 ns, 27.3200 ms/op
WorkloadResult   6: 32 op, 872214600.00 ns, 27.2567 ms/op
WorkloadResult   7: 32 op, 879750300.00 ns, 27.4922 ms/op
WorkloadResult   8: 32 op, 874184800.00 ns, 27.3183 ms/op
WorkloadResult   9: 32 op, 875734700.00 ns, 27.3667 ms/op
WorkloadResult  10: 32 op, 874025800.00 ns, 27.3133 ms/op
WorkloadResult  11: 32 op, 878139800.00 ns, 27.4419 ms/op
WorkloadResult  12: 32 op, 873106100.00 ns, 27.2846 ms/op
WorkloadResult  13: 32 op, 870610400.00 ns, 27.2066 ms/op
WorkloadResult  14: 32 op, 876214200.00 ns, 27.3817 ms/op
WorkloadResult  15: 32 op, 885613500.00 ns, 27.6754 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 27.3656 ms, StdErr = 0.0325 ms (0.12%); N = 15, StdDev = 0.1259 ms
Min = 27.2066 ms, Q1 = 27.2846 ms, Median = 27.3183 ms, Q3 = 27.4419 ms, Max = 27.6754 ms
IQR = 0.1573 ms, LowerFence = 27.0486 ms, UpperFence = 27.6778 ms
ConfidenceInterval = [27.2311 ms; 27.5002 ms] (CI 99.9%), Margin = 0.1346 ms (0.49% of Mean)
Skewness = 1.05, Kurtosis = 3.11, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NQLILM(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 452300.00 ns, 452.3000 us/op
WorkloadJitting  1: 1 op, 45941900.00 ns, 45.9419 ms/op

WorkloadPilot    1: 2 op, 90126800.00 ns, 45.0634 ms/op
WorkloadPilot    2: 3 op, 137348800.00 ns, 45.7829 ms/op
WorkloadPilot    3: 4 op, 180259900.00 ns, 45.0650 ms/op
WorkloadPilot    4: 5 op, 227313700.00 ns, 45.4627 ms/op
WorkloadPilot    5: 6 op, 270480600.00 ns, 45.0801 ms/op
WorkloadPilot    6: 7 op, 314947600.00 ns, 44.9925 ms/op
WorkloadPilot    7: 8 op, 358714900.00 ns, 44.8394 ms/op
WorkloadPilot    8: 9 op, 403265700.00 ns, 44.8073 ms/op
WorkloadPilot    9: 10 op, 459038300.00 ns, 45.9038 ms/op
WorkloadPilot   10: 11 op, 495424200.00 ns, 45.0386 ms/op
WorkloadPilot   11: 12 op, 538930000.00 ns, 44.9108 ms/op

WorkloadWarmup   1: 12 op, 538839900.00 ns, 44.9033 ms/op
WorkloadWarmup   2: 12 op, 539392100.00 ns, 44.9493 ms/op
WorkloadWarmup   3: 12 op, 538859700.00 ns, 44.9050 ms/op
WorkloadWarmup   4: 12 op, 538882900.00 ns, 44.9069 ms/op
WorkloadWarmup   5: 12 op, 543742700.00 ns, 45.3119 ms/op
WorkloadWarmup   6: 12 op, 536083000.00 ns, 44.6736 ms/op

// BeforeActualRun
WorkloadActual   1: 12 op, 537838300.00 ns, 44.8199 ms/op
WorkloadActual   2: 12 op, 537971000.00 ns, 44.8309 ms/op
WorkloadActual   3: 12 op, 538777600.00 ns, 44.8981 ms/op
WorkloadActual   4: 12 op, 542688000.00 ns, 45.2240 ms/op
WorkloadActual   5: 12 op, 538321300.00 ns, 44.8601 ms/op
WorkloadActual   6: 12 op, 538672000.00 ns, 44.8893 ms/op
WorkloadActual   7: 12 op, 539226900.00 ns, 44.9356 ms/op
WorkloadActual   8: 12 op, 538433600.00 ns, 44.8695 ms/op
WorkloadActual   9: 12 op, 539067300.00 ns, 44.9223 ms/op
WorkloadActual  10: 12 op, 538749800.00 ns, 44.8958 ms/op
WorkloadActual  11: 12 op, 538672200.00 ns, 44.8894 ms/op
WorkloadActual  12: 12 op, 538522600.00 ns, 44.8769 ms/op
WorkloadActual  13: 12 op, 539873600.00 ns, 44.9895 ms/op
WorkloadActual  14: 12 op, 538343800.00 ns, 44.8620 ms/op
WorkloadActual  15: 12 op, 543562800.00 ns, 45.2969 ms/op

// AfterActualRun
WorkloadResult   1: 12 op, 537838300.00 ns, 44.8199 ms/op
WorkloadResult   2: 12 op, 537971000.00 ns, 44.8309 ms/op
WorkloadResult   3: 12 op, 538777600.00 ns, 44.8981 ms/op
WorkloadResult   4: 12 op, 538321300.00 ns, 44.8601 ms/op
WorkloadResult   5: 12 op, 538672000.00 ns, 44.8893 ms/op
WorkloadResult   6: 12 op, 539226900.00 ns, 44.9356 ms/op
WorkloadResult   7: 12 op, 538433600.00 ns, 44.8695 ms/op
WorkloadResult   8: 12 op, 539067300.00 ns, 44.9223 ms/op
WorkloadResult   9: 12 op, 538749800.00 ns, 44.8958 ms/op
WorkloadResult  10: 12 op, 538672200.00 ns, 44.8894 ms/op
WorkloadResult  11: 12 op, 538522600.00 ns, 44.8769 ms/op
WorkloadResult  12: 12 op, 539873600.00 ns, 44.9895 ms/op
WorkloadResult  13: 12 op, 538343800.00 ns, 44.8620 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 44.8876 ms, StdErr = 0.0123 ms (0.03%); N = 13, StdDev = 0.0445 ms
Min = 44.8199 ms, Q1 = 44.8610 ms, Median = 44.8893 ms, Q3 = 44.9102 ms, Max = 44.9895 ms
IQR = 0.0492 ms, LowerFence = 44.7873 ms, UpperFence = 44.9839 ms
ConfidenceInterval = [44.8344 ms; 44.9409 ms] (CI 99.9%), Margin = 0.0532 ms (0.12% of Mean)
Skewness = 0.59, Kurtosis = 2.89, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.For" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 2 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KZCMNN(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 444400.00 ns, 444.4000 us/op
WorkloadJitting  1: 1 op, 42527900.00 ns, 42.5279 ms/op

WorkloadPilot    1: 2 op, 82780100.00 ns, 41.3901 ms/op
WorkloadPilot    2: 3 op, 123490100.00 ns, 41.1634 ms/op
WorkloadPilot    3: 4 op, 165991400.00 ns, 41.4979 ms/op
WorkloadPilot    4: 5 op, 207334700.00 ns, 41.4669 ms/op
WorkloadPilot    5: 6 op, 246074700.00 ns, 41.0125 ms/op
WorkloadPilot    6: 7 op, 290143400.00 ns, 41.4491 ms/op
WorkloadPilot    7: 8 op, 329831800.00 ns, 41.2290 ms/op
WorkloadPilot    8: 9 op, 367740800.00 ns, 40.8601 ms/op
WorkloadPilot    9: 10 op, 413343700.00 ns, 41.3344 ms/op
WorkloadPilot   10: 11 op, 451879700.00 ns, 41.0800 ms/op
WorkloadPilot   11: 12 op, 490466100.00 ns, 40.8722 ms/op
WorkloadPilot   12: 13 op, 531388200.00 ns, 40.8760 ms/op

WorkloadWarmup   1: 13 op, 533281800.00 ns, 41.0217 ms/op
WorkloadWarmup   2: 13 op, 531876900.00 ns, 40.9136 ms/op
WorkloadWarmup   3: 13 op, 532100600.00 ns, 40.9308 ms/op
WorkloadWarmup   4: 13 op, 532131300.00 ns, 40.9332 ms/op
WorkloadWarmup   5: 13 op, 531178300.00 ns, 40.8599 ms/op
WorkloadWarmup   6: 13 op, 531625000.00 ns, 40.8942 ms/op
WorkloadWarmup   7: 13 op, 531271600.00 ns, 40.8670 ms/op

// BeforeActualRun
WorkloadActual   1: 13 op, 531677400.00 ns, 40.8983 ms/op
WorkloadActual   2: 13 op, 532666600.00 ns, 40.9744 ms/op
WorkloadActual   3: 13 op, 531265200.00 ns, 40.8666 ms/op
WorkloadActual   4: 13 op, 531047300.00 ns, 40.8498 ms/op
WorkloadActual   5: 13 op, 534866500.00 ns, 41.1436 ms/op
WorkloadActual   6: 13 op, 540556500.00 ns, 41.5813 ms/op
WorkloadActual   7: 13 op, 530896200.00 ns, 40.8382 ms/op
WorkloadActual   8: 13 op, 530771000.00 ns, 40.8285 ms/op
WorkloadActual   9: 13 op, 537647700.00 ns, 41.3575 ms/op
WorkloadActual  10: 13 op, 532088100.00 ns, 40.9299 ms/op
WorkloadActual  11: 13 op, 535788900.00 ns, 41.2145 ms/op
WorkloadActual  12: 13 op, 531357800.00 ns, 40.8737 ms/op
WorkloadActual  13: 13 op, 530754300.00 ns, 40.8273 ms/op
WorkloadActual  14: 13 op, 531144900.00 ns, 40.8573 ms/op
WorkloadActual  15: 13 op, 532979800.00 ns, 40.9984 ms/op

// AfterActualRun
WorkloadResult   1: 13 op, 531677400.00 ns, 40.8983 ms/op
WorkloadResult   2: 13 op, 532666600.00 ns, 40.9744 ms/op
WorkloadResult   3: 13 op, 531265200.00 ns, 40.8666 ms/op
WorkloadResult   4: 13 op, 531047300.00 ns, 40.8498 ms/op
WorkloadResult   5: 13 op, 534866500.00 ns, 41.1436 ms/op
