// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 9 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\b305ee65-3d86-4148-abf6-11003b64f03c
// command took 2,03s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\b305ee65-3d86-4148-abf6-11003b64f03c
// command took 3,3s and exited with 0
// ***** Done, took 00:00:05 (5.53 sec)   *****
// Found 9 benchmarks:
//   ListAccessMethods.ForCacheArray: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.For: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.ForEach: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.LinqAggregate: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.LinqSum: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.LinqAll: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.FastLinqAll: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.LinqAny: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
//   ListAccessMethods.FastLinqAny: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ListAccessMethods.ForCacheArray: Job-CZKOFT(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "b305ee65-3d86-4148-abf6-11003b64f03c.dll" --benchmarkName "CSharpBenchmarks.ListAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\b305ee65-3d86-4148-abf6-11003b64f03c\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CRDRKZ(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 509600.00 ns, 509.6000 us/op
WorkloadJitting  1: 1 op, 342767500.00 ns, 342.7675 ms/op

WorkloadWarmup   1: 1 op, 347712400.00 ns, 347.7124 ms/op
WorkloadWarmup   2: 1 op, 347211600.00 ns, 347.2116 ms/op
WorkloadWarmup   3: 1 op, 342813100.00 ns, 342.8131 ms/op
WorkloadWarmup   4: 1 op, 341121700.00 ns, 341.1217 ms/op
WorkloadWarmup   5: 1 op, 343680200.00 ns, 343.6802 ms/op
WorkloadWarmup   6: 1 op, 341426800.00 ns, 341.4268 ms/op
WorkloadWarmup   7: 1 op, 342949200.00 ns, 342.9492 ms/op
WorkloadWarmup   8: 1 op, 342999000.00 ns, 342.9990 ms/op
WorkloadWarmup   9: 1 op, 342108700.00 ns, 342.1087 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 340875100.00 ns, 340.8751 ms/op
WorkloadActual   2: 1 op, 341774500.00 ns, 341.7745 ms/op
WorkloadActual   3: 1 op, 343044400.00 ns, 343.0444 ms/op
WorkloadActual   4: 1 op, 340907600.00 ns, 340.9076 ms/op
WorkloadActual   5: 1 op, 341967500.00 ns, 341.9675 ms/op
WorkloadActual   6: 1 op, 341405100.00 ns, 341.4051 ms/op
WorkloadActual   7: 1 op, 340780000.00 ns, 340.7800 ms/op
WorkloadActual   8: 1 op, 343894300.00 ns, 343.8943 ms/op
WorkloadActual   9: 1 op, 341255800.00 ns, 341.2558 ms/op
WorkloadActual  10: 1 op, 344665000.00 ns, 344.6650 ms/op
WorkloadActual  11: 1 op, 341020500.00 ns, 341.0205 ms/op
WorkloadActual  12: 1 op, 344684000.00 ns, 344.6840 ms/op
WorkloadActual  13: 1 op, 340007200.00 ns, 340.0072 ms/op
WorkloadActual  14: 1 op, 345477900.00 ns, 345.4779 ms/op
WorkloadActual  15: 1 op, 340672900.00 ns, 340.6729 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 340875100.00 ns, 340.8751 ms/op
WorkloadResult   2: 1 op, 341774500.00 ns, 341.7745 ms/op
WorkloadResult   3: 1 op, 343044400.00 ns, 343.0444 ms/op
WorkloadResult   4: 1 op, 340907600.00 ns, 340.9076 ms/op
WorkloadResult   5: 1 op, 341967500.00 ns, 341.9675 ms/op
WorkloadResult   6: 1 op, 341405100.00 ns, 341.4051 ms/op
WorkloadResult   7: 1 op, 340780000.00 ns, 340.7800 ms/op
WorkloadResult   8: 1 op, 343894300.00 ns, 343.8943 ms/op
WorkloadResult   9: 1 op, 341255800.00 ns, 341.2558 ms/op
