// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\c09b30c4-8049-4e66-a08d-be8db219afb1
// command took 2,17s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\c09b30c4-8049-4e66-a08d-be8db219afb1
// command took 3,1s and exited with 0
// ***** Done, took 00:00:05 (5.29 sec)   *****
// Found 2 benchmarks:
//   ReflectionGetAndSetMethods.FuncAndAction: Job-SOBDEY(Jit=RyuJit, Platform=X64, Server=True)
//   ReflectionGetAndSetMethods.Reflection: Job-SOBDEY(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReflectionGetAndSetMethods.FuncAndAction: Job-SOBDEY(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c09b30c4-8049-4e66-a08d-be8db219afb1.dll" --benchmarkName "CSharpBenchmarks.ReflectionGetAndSetMethods.FuncAndAction" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\c09b30c4-8049-4e66-a08d-be8db219afb1\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FNZOGZ(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 585000.00 ns, 585.0000 us/op
WorkloadJitting  1: 1 op, 29764100.00 ns, 29.7641 ms/op

OverheadJitting  2: 16 op, 2128000.00 ns, 133.0000 us/op
WorkloadJitting  2: 16 op, 458320500.00 ns, 28.6450 ms/op

WorkloadPilot    1: 16 op, 458787700.00 ns, 28.6742 ms/op
WorkloadPilot    2: 32 op, 926460700.00 ns, 28.9519 ms/op

OverheadWarmup   1: 32 op, 6500.00 ns, 203.1250 ns/op
OverheadWarmup   2: 32 op, 800.00 ns, 25.0000 ns/op
OverheadWarmup   3: 32 op, 900.00 ns, 28.1250 ns/op
OverheadWarmup   4: 32 op, 2500.00 ns, 78.1250 ns/op
OverheadWarmup   5: 32 op, 1000.00 ns, 31.2500 ns/op
OverheadWarmup   6: 32 op, 1300.00 ns, 40.6250 ns/op
OverheadWarmup   7: 32 op, 600.00 ns, 18.7500 ns/op

OverheadActual   1: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   2: 32 op, 1300.00 ns, 40.6250 ns/op
OverheadActual   3: 32 op, 2600.00 ns, 81.2500 ns/op
OverheadActual   4: 32 op, 1400.00 ns, 43.7500 ns/op
OverheadActual   5: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual   6: 32 op, 1300.00 ns, 40.6250 ns/op
OverheadActual   7: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   8: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual   9: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual  10: 32 op, 1200.00 ns, 37.5000 ns/op
OverheadActual  11: 32 op, 1400.00 ns, 43.7500 ns/op
OverheadActual  12: 32 op, 1300.00 ns, 40.6250 ns/op
OverheadActual  13: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual  14: 32 op, 1300.00 ns, 40.6250 ns/op
OverheadActual  15: 32 op, 500.00 ns, 15.6250 ns/op
