// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\2c4cf334-9a94-4b31-8cc6-888fa6207100
// command took 2,09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\2c4cf334-9a94-4b31-8cc6-888fa6207100
// command took 3,06s and exited with 0
// ***** Done, took 00:00:05 (5.17 sec)   *****
// Found 2 benchmarks:
//   ReflectionGetAndSetMethods.FuncAndAction: Job-XZCOKH(Jit=RyuJit, Platform=X64, Server=True)
//   ReflectionGetAndSetMethods.Reflection: Job-XZCOKH(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReflectionGetAndSetMethods.FuncAndAction: Job-XZCOKH(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2c4cf334-9a94-4b31-8cc6-888fa6207100.dll" --benchmarkName "CSharpBenchmarks.ReflectionGetAndSetMethods.FuncAndAction" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\2c4cf334-9a94-4b31-8cc6-888fa6207100\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-DQXOXE(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 529300.00 ns, 529.3000 us/op
WorkloadJitting  1: 1 op, 28661900.00 ns, 28.6619 ms/op

OverheadJitting  2: 16 op, 988600.00 ns, 61.7875 us/op
WorkloadJitting  2: 16 op, 446280100.00 ns, 27.8925 ms/op

WorkloadPilot    1: 16 op, 445130900.00 ns, 27.8207 ms/op
WorkloadPilot    2: 32 op, 890236800.00 ns, 27.8199 ms/op

OverheadWarmup   1: 32 op, 4600.00 ns, 143.7500 ns/op
OverheadWarmup   2: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   3: 32 op, 2800.00 ns, 87.5000 ns/op
OverheadWarmup   4: 32 op, 1500.00 ns, 46.8750 ns/op
OverheadWarmup   5: 32 op, 700.00 ns, 21.8750 ns/op
OverheadWarmup   6: 32 op, 1500.00 ns, 46.8750 ns/op
OverheadWarmup   7: 32 op, 600.00 ns, 18.7500 ns/op

OverheadActual   1: 32 op, 2300.00 ns, 71.8750 ns/op
OverheadActual   2: 32 op, 2500.00 ns, 78.1250 ns/op
OverheadActual   3: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual   4: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   5: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual   6: 32 op, 800.00 ns, 25.0000 ns/op
OverheadActual   7: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   8: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   9: 32 op, 2900.00 ns, 90.6250 ns/op
OverheadActual  10: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual  11: 32 op, 2600.00 ns, 81.2500 ns/op
OverheadActual  12: 32 op, 2400.00 ns, 75.0000 ns/op
OverheadActual  13: 32 op, 2400.00 ns, 75.0000 ns/op
OverheadActual  14: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual  15: 32 op, 2300.00 ns, 71.8750 ns/op
