// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fb141920-8033-4acd-a052-50dc19a59764
// command took 2,09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fb141920-8033-4acd-a052-50dc19a59764
// command took 12,96s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fb141920-8033-4acd-a052-50dc19a59764
// command took 3,07s and exited with 0
// ***** Done, took 00:00:18 (18.3 sec)   *****
// Found 2 benchmarks:
//   ReflectionGetAndSetMethods.FuncAndAction: Job-ZLTMQJ(Jit=RyuJit, Platform=X64, Server=True)
//   ReflectionGetAndSetMethods.Reflection: Job-ZLTMQJ(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReflectionGetAndSetMethods.FuncAndAction: Job-ZLTMQJ(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fb141920-8033-4acd-a052-50dc19a59764.dll" --benchmarkName "CSharpBenchmarks.ReflectionGetAndSetMethods.FuncAndAction" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fb141920-8033-4acd-a052-50dc19a59764\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FETYWS(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 556100.00 ns, 556.1000 us/op
WorkloadJitting  1: 1 op, 284395100.00 ns, 284.3951 ms/op

WorkloadPilot    1: 2 op, 608954900.00 ns, 304.4775 ms/op

WorkloadWarmup   1: 2 op, 581573800.00 ns, 290.7869 ms/op
WorkloadWarmup   2: 2 op, 578585000.00 ns, 289.2925 ms/op
WorkloadWarmup   3: 2 op, 564332800.00 ns, 282.1664 ms/op
WorkloadWarmup   4: 2 op, 568789000.00 ns, 284.3945 ms/op
WorkloadWarmup   5: 2 op, 569358400.00 ns, 284.6792 ms/op
WorkloadWarmup   6: 2 op, 564268300.00 ns, 282.1342 ms/op
WorkloadWarmup   7: 2 op, 567909300.00 ns, 283.9547 ms/op
WorkloadWarmup   8: 2 op, 567436000.00 ns, 283.7180 ms/op

// BeforeActualRun
WorkloadActual   1: 2 op, 565255400.00 ns, 282.6277 ms/op
WorkloadActual   2: 2 op, 567544800.00 ns, 283.7724 ms/op
WorkloadActual   3: 2 op, 569409900.00 ns, 284.7050 ms/op
WorkloadActual   4: 2 op, 577660100.00 ns, 288.8301 ms/op
WorkloadActual   5: 2 op, 570318800.00 ns, 285.1594 ms/op
WorkloadActual   6: 2 op, 573200300.00 ns, 286.6002 ms/op
WorkloadActual   7: 2 op, 571839700.00 ns, 285.9199 ms/op
WorkloadActual   8: 2 op, 1147435600.00 ns, 573.7178 ms/op
WorkloadActual   9: 2 op, 571410400.00 ns, 285.7052 ms/op
WorkloadActual  10: 2 op, 573660500.00 ns, 286.8303 ms/op
WorkloadActual  11: 2 op, 575399900.00 ns, 287.7000 ms/op
WorkloadActual  12: 2 op, 570992300.00 ns, 285.4962 ms/op
WorkloadActual  13: 2 op, 569756700.00 ns, 284.8784 ms/op
WorkloadActual  14: 2 op, 575428800.00 ns, 287.7144 ms/op
WorkloadActual  15: 2 op, 573769000.00 ns, 286.8845 ms/op

// AfterActualRun
WorkloadResult   1: 2 op, 565255400.00 ns, 282.6277 ms/op
WorkloadResult   2: 2 op, 567544800.00 ns, 283.7724 ms/op
WorkloadResult   3: 2 op, 569409900.00 ns, 284.7050 ms/op
WorkloadResult   4: 2 op, 577660100.00 ns, 288.8301 ms/op
