// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fea62528-b525-4332-9ac2-727387c1454a
// command took 2,12s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fea62528-b525-4332-9ac2-727387c1454a
// command took 3,15s and exited with 0
// ***** Done, took 00:00:05 (5.43 sec)   *****
// Found 2 benchmarks:
//   ReflectionMethods.ForCacheArray: Job-QVITNY(Jit=RyuJit, Platform=X64, Server=True)
//   ReflectionMethods.ForCacheArray2: Job-QVITNY(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReflectionMethods.ForCacheArray: Job-QVITNY(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "fea62528-b525-4332-9ac2-727387c1454a.dll" --benchmarkName "CSharpBenchmarks.ReflectionMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\fea62528-b525-4332-9ac2-727387c1454a\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-JUFDUP(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 567800.00 ns, 567.8000 us/op
WorkloadJitting  1: 1 op, 9468900.00 ns, 9.4689 ms/op

OverheadJitting  2: 16 op, 1138200.00 ns, 71.1375 us/op
WorkloadJitting  2: 16 op, 143951800.00 ns, 8.9970 ms/op

WorkloadPilot    1: 16 op, 143382400.00 ns, 8.9614 ms/op
WorkloadPilot    2: 32 op, 283567500.00 ns, 8.8615 ms/op
WorkloadPilot    3: 64 op, 570156200.00 ns, 8.9087 ms/op

OverheadWarmup   1: 64 op, 6000.00 ns, 93.7500 ns/op
OverheadWarmup   2: 64 op, 800.00 ns, 12.5000 ns/op
OverheadWarmup   3: 64 op, 1700.00 ns, 26.5625 ns/op
OverheadWarmup   4: 64 op, 700.00 ns, 10.9375 ns/op
OverheadWarmup   5: 64 op, 2700.00 ns, 42.1875 ns/op
OverheadWarmup   6: 64 op, 700.00 ns, 10.9375 ns/op

OverheadActual   1: 64 op, 800.00 ns, 12.5000 ns/op
OverheadActual   2: 64 op, 800.00 ns, 12.5000 ns/op
OverheadActual   3: 64 op, 1300.00 ns, 20.3125 ns/op
OverheadActual   4: 64 op, 1300.00 ns, 20.3125 ns/op
OverheadActual   5: 64 op, 1100.00 ns, 17.1875 ns/op
OverheadActual   6: 64 op, 2600.00 ns, 40.6250 ns/op
OverheadActual   7: 64 op, 600.00 ns, 9.3750 ns/op
OverheadActual   8: 64 op, 2600.00 ns, 40.6250 ns/op
OverheadActual   9: 64 op, 800.00 ns, 12.5000 ns/op
OverheadActual  10: 64 op, 2500.00 ns, 39.0625 ns/op
OverheadActual  11: 64 op, 2500.00 ns, 39.0625 ns/op
OverheadActual  12: 64 op, 1200.00 ns, 18.7500 ns/op
OverheadActual  13: 64 op, 2100.00 ns, 32.8125 ns/op
OverheadActual  14: 64 op, 900.00 ns, 14.0625 ns/op
