// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\d96a20cb-3d87-4b21-9a10-1ba2e42a45a3
// command took 2,07s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\d96a20cb-3d87-4b21-9a10-1ba2e42a45a3
// command took 3,11s and exited with 0
// ***** Done, took 00:00:05 (5.34 sec)   *****
// Found 2 benchmarks:
//   ReflectionMethods.Reflection: Job-EQICRF(Jit=RyuJit, Platform=X64, Server=True)
//   ReflectionMethods.Functions: Job-EQICRF(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ReflectionMethods.Reflection: Job-EQICRF(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d96a20cb-3d87-4b21-9a10-1ba2e42a45a3.dll" --benchmarkName "CSharpBenchmarks.ReflectionMethods.Reflection" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\d96a20cb-3d87-4b21-9a10-1ba2e42a45a3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CARIXY(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 542300.00 ns, 542.3000 us/op
WorkloadJitting  1: 1 op, 94623900.00 ns, 94.6239 ms/op

WorkloadPilot    1: 2 op, 182625400.00 ns, 91.3127 ms/op
WorkloadPilot    2: 3 op, 272200000.00 ns, 90.7333 ms/op
WorkloadPilot    3: 4 op, 368902000.00 ns, 92.2255 ms/op
WorkloadPilot    4: 5 op, 453805100.00 ns, 90.7610 ms/op
WorkloadPilot    5: 6 op, 541250800.00 ns, 90.2085 ms/op

WorkloadWarmup   1: 6 op, 542353000.00 ns, 90.3922 ms/op
WorkloadWarmup   2: 6 op, 541061100.00 ns, 90.1769 ms/op
WorkloadWarmup   3: 6 op, 546673800.00 ns, 91.1123 ms/op
WorkloadWarmup   4: 6 op, 540128400.00 ns, 90.0214 ms/op
WorkloadWarmup   5: 6 op, 545052000.00 ns, 90.8420 ms/op
WorkloadWarmup   6: 6 op, 545541800.00 ns, 90.9236 ms/op
WorkloadWarmup   7: 6 op, 543361000.00 ns, 90.5602 ms/op

// BeforeActualRun
WorkloadActual   1: 6 op, 551068500.00 ns, 91.8448 ms/op
WorkloadActual   2: 6 op, 549932300.00 ns, 91.6554 ms/op
WorkloadActual   3: 6 op, 546010500.00 ns, 91.0018 ms/op
WorkloadActual   4: 6 op, 549767300.00 ns, 91.6279 ms/op
WorkloadActual   5: 6 op, 546506000.00 ns, 91.0843 ms/op
WorkloadActual   6: 6 op, 552512900.00 ns, 92.0855 ms/op
WorkloadActual   7: 6 op, 543875400.00 ns, 90.6459 ms/op
